cod_cliente,nome_cliente,cnpj_cliente,empresa,filial,regiao,descricao_regiao
56675,AVL SOUTH AMERICA LTDA,03.883.390/0002-64,2,4,4,PAULISTA
55214,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0026-03,1,4,4,PAULISTA
56685,RAFFOUL RESTAURANTES LTDA,51.667.335/0001-07,44,0,4,PAULISTA
56058,BAR E RESTAURANTE GALETIM LTDA,55.047.995/0001-38,42,0,4,PAULISTA
30747,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0006-01,1,7,7,SAO JOSE CAMPOS
57007,RAIA DROGASIL S/A,61.585.865/2582-48,1,4,4,PAULISTA
55411,DANISCO BRASIL LTDA,46.278.016/0001-61,2,4,4,PAULISTA
56691,RAIA DROGASIL S/A,61.585.865/3190-50,1,4,4,PAULISTA
51744,INTEREP REPRESENTACOES VIAGENS E TURISMO S.A.,52.131.034/0001-19,8,0,4,PAULISTA
53796,BLANVER FARMOQUIMICA E FARMACEUTICA S.A.,53.359.824/0004-61,1,5,5,EMBU
55841,KANASTRA TECNOLOGIA LTDA,52.278.633/0001-60,37,0,34,UBERLANDIA
50309,ISA ENERGIA BRASIL S.A.,02.998.611/0001-04,2,4,4,PAULISTA
54236,LIBBS FARMACEUTICA LTDA,61.230.314/0001-75,1,4,4,PAULISTA
50124,SOULAN ADMINISTRACAO E ASSESSORIA EM RECURSOS HUMANOS LTDA,59.051.086/0002-05,5,4,4,PAULISTA
56964,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0006-10,29,4,4,PAULISTA
51726,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0001-05,29,0,4,PAULISTA
66,MEIWA INDUSTRIA E COMERCIO LTDA,55.078.307/0001-05,2,1,12,ARUJA
56002,HOSPITAL ALEMAO OSWALDO CRUZ,60.726.502/0001-26,1,4,4,PAULISTA
54729,UP.P SOCIEDADE DE EMPRESTIMO ENTRE PESSOAS S.A,35.977.097/0001-71,27,0,4,PAULISTA
54916,REDE D'OR SAO LUIZ S.A.,06.047.087/0077-37,1,4,4,PAULISTA
521,SALUTE INDUSTRIA DE PAPELAO ONDULADO LTDA,45.923.919/0001-95,1,1,9,POA
54263,KANSAS BAR E RESTAURANTE LTDA,28.146.696/0001-88,23,0,4,PAULISTA
50626,IFF ESSENCIAS E FRAGRANCIAS LTDA,33.043.951/0002-88,2,4,4,PAULISTA
631,SOULAN ADMINISTRACAO E ASSESSORIA EM RECURSOS HUMANOS LTDA,59.051.086/0001-24,5,2,2,MOGI
54931,TOP ARABE RESTAURANTE LTDA,11.928.186/0006-74,33,5,4,PAULISTA
55880,GARRETT MOTION INDUSTRIA AUTOMOTIVA BRASIL LTDA,45.988.045/0018-00,1,2,16,GUARULHOS
54925,TOP ARABE RESTAURANTE LTDA,11.928.186/0003-21,33,0,4,PAULISTA
53558,SONOVA DO BRASIL PRODUTOS AUDIOLOGICOS LTDA,92.792.530/0001-38,2,4,4,PAULISTA
53753,FARFETCH COM BRASIL SERVICOS LTDA,11.844.299/0001-87,1,4,4,PAULISTA
55865,PET CENTER COMERCIO E PARTICIPACOES S.A.,18.328.118/0038-09,1,5,5,EMBU
57269,EDITORA SCHWARCZ S.A.,55.789.390/0001-12,1,2,16,GUARULHOS
56808,BREMIL S/A INDUSTRIA DE PRODUTOS ALIMENTICIOS,91.897.876/0001-38,1,4,4,PAULISTA
57356,RAIA DROGASIL S/A,61.585.865/3722-96,1,4,4,PAULISTA
55288,DANISCO BRASIL LTDA,46.278.016/0010-52,2,4,4,PAULISTA
51272,RAIA DROGASIL S/A,61.585.865/0001-51,2,4,4,PAULISTA
55371,TOP ARABE RESTAURANTE,11.928.186/0004-02,33,3,4,PAULISTA
51906,EMUNAH COMERCIO DE COSMETICOS E SANEANTES LTDA,08.682.240/0001-25,16,0,4,PAULISTA
51941,ASSOCIACAO TRANSPARENCIA E INTEGRIDADE,26.219.946/0001-37,19,0,4,PAULISTA
53832,VERTEX FARMACEUTICA DO BRASIL LTDA,21.798.065/0001-02,2,4,4,PAULISTA
55055,INTERX LOGISTICS LTDA,35.003.115/0001-14,34,0,4,PAULISTA
54929,TOP ARABE RESTAURANTE,11.928.186/0002-40,33,2,4,PAULISTA
55320,KANASTRA GESTAO DE RECURSOS LTDA,44.870.662/0001-98,35,0,34,UBERLANDIA
56473,RAIA DROGASIL S/A,61.585.865/1216-17,1,4,4,PAULISTA
55395,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0003-77,29,2,25,ITAJAI
57242,BUNGE ALIMENTOS S/A,84.046.101/0467-70,1,4,4,PAULISTA
57236,RAIA DROGASIL S/A,61.585.865/2950-11,1,4,4,PAULISTA
56049,KANASTRA CONSULTORIA LTDA,52.360.854/0001-82,41,0,34,UBERLANDIA
57266,NILIT AMERICANA FIBRAS DE POLIAMIDA LTDA.,21.103.316/0001-89,1,4,4,PAULISTA
56998,RAIA DROGASIL S/A,61.585.865/0170-46,1,4,4,PAULISTA
51709,RAIA DROGASIL S/A,61.585.865/1164-51,1,4,4,PAULISTA
55496,CNA S.A.,60.881.299/0008-39,1,4,4,PAULISTA
54341,BMB MATERIAL DE CONSTRUCAO SA,23.476.033/0001-08,1,4,4,PAULISTA
55894,PET CENTER COMERCIO E PARTICIPACOES S.A.,18.328.118/0207-20,1,5,5,EMBU
54928,TOP ARABE RESTAURANTE LTDA,11.928.186/0001-60,33,1,4,PAULISTA
56221,SOLAE DO BRASIL IND E COM DE ALIMENTOS LTDA,05.547.514/0001-85,2,4,4,PAULISTA
55469,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0001-33,1,4,4,PAULISTA
55619,BUNGE ALIMENTOS S/A,84.046.101/0574-62,2,4,4,PAULISTA
