cod_cliente,nome_operacao,cargo,tipo_documento,exigencia
55865,PETZ,AJUDANTE GERAL,RG,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CPF,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CNH,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,NASCIMENTO OU CASAMENTO,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,ESCOLARIDADE,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CURSO COMPLEMENTAR,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,TITULO DE ELEITOR,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CONTA BANCÁRIA,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,BANCO EXCLUSIVO,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,RESERVISTA,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,PIS,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CTPS,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,COMPROVANTE DE RESIDÊNCIA,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,FOTO 3X4,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,FORMULÁRIO DE VT,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CARTÃO DE TRANSPORTE,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CARTÃO SUS,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,VACINA FUNCIONÁRIO,NAO_OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CERTIDÃO DE NASCIMENTO DEPENDENTE,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,CPF DEPENDENTE,OBRIGATORIO
55865,PETZ,AJUDANTE GERAL,VACINAÇÃO DEPENDENTE,FACULTATIVO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,RG,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CPF,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CNH,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,NASCIMENTO OU CASAMENTO,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,ESCOLARIDADE,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CURSO COMPLEMENTAR,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,TITULO DE ELEITOR,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CONTA BANCÁRIA,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,BANCO EXCLUSIVO,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,RESERVISTA,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,PIS,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CTPS,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,COMPROVANTE DE RESIDÊNCIA,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,FOTO 3X4,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,FORMULÁRIO DE VT,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CARTÃO DE TRANSPORTE,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CARTÃO SUS,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,VACINA FUNCIONÁRIO,NAO_OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CERTIDÃO DE NASCIMENTO DEPENDENTE,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,CPF DEPENDENTE,OBRIGATORIO
50492,BLUE SKIES,AUXILIAR DE PRODUÇÃO,VACINAÇÃO DEPENDENTE,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,RG,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CPF,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CNH,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,NASCIMENTO OU CASAMENTO,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,ESCOLARIDADE,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CURSO COMPLEMENTAR,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,TITULO DE ELEITOR,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CONTA BANCÁRIA,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,BANCO EXCLUSIVO,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,RESERVISTA,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,PIS,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CTPS,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,COMPROVANTE DE RESIDÊNCIA,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,FOTO 3X4,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,FORMULÁRIO DE VT,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CARTÃO DE TRANSPORTE,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CARTÃO SUS,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,VACINA FUNCIONÁRIO,NAO_OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CERTIDÃO DE NASCIMENTO DEPENDENTE,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,CPF DEPENDENTE,OBRIGATORIO
57241,SONOVA,ASSISTENTE COMERCIAL,VACINAÇÃO DEPENDENTE,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",RG,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",CPF,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",CNH,NAO_OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",NASCIMENTO OU CASAMENTO,NAO_OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",ESCOLARIDADE,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",CURSO COMPLEMENTAR,NAO_OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",TITULO DE ELEITOR,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",CONTA BANCÁRIA,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",BANCO EXCLUSIVO,NAO_OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",RESERVISTA,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",PIS,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",CTPS,OBRIGATORIO
57241,SONOVA,"ANALISTA DE CONTAS A RECEBER, CREDITO E COBRANÇA",COMPROVANTE DE RESIDÊNCIA,OBRIGATORIO
